Problema,Causa,Sintomas,Solução
Superaquecimento,Vazamento no sistema de arrefecimento,Vazamento de água do motor,"Reparar o vazamento (mangueiras, junções, etc.)"
Superaquecimento,Vazamento no sistema de arrefecimento,Perda de líquido de arrefecimento,Completar o nível do líquido de arrefecimento e reparar o vazamento
Superaquecimento,Problemas com o radiador,Vazamento de água do radiador,Substituir o radiador
Superaquecimento,Problemas com o radiador,Aletas do radiador entupidas,Limpar as aletas do radiador
Superaquecimento,Termostato defeituoso,Termostato travado na posição fechada,Substituir o termostato
Superaquecimento,Termostato defeituoso,Termostato travado na posição aberta,Substituir o termostato
Superaquecimento,Bomba d'água defeituosa,Bomba d'água não funciona,Substituir a bomba d'água
Superaquecimento,Ventilador elétrico defeituoso,Ventilador não liga,Substituir o ventilador elétrico
Superaquecimento,Nível baixo de líquido de arrefecimento,Vazamento de líquido de arrefecimento,Completar o nível do líquido de arrefecimento e reparar o vazamento
Superaquecimento,Nível baixo de líquido de arrefecimento,Falta de adição de líquido de arrefecimento,Completar o nível do líquido de arrefecimento com a mistura correta (água desmineralizada e aditivo)
Superaquecimento,Tampa do radiador defeituosa,Tampa não veda corretamente,Substituir a tampa do radiador
Superaquecimento,Uso de líquido de arrefecimento inadequado,Líquido de arrefecimento de baixa qualidade,Substituir o líquido de arrefecimento pelo recomendado no manual do proprietário
Superaquecimento,Falha na junta do cabeçote,Vazamento de gases da combustão para o sistema de arrefecimento,Substituir a junta do cabeçote
Superaquecimento,Superaquecimento excessivo,Fumaça saindo do capô,Desligar o motor imediatamente e aguardar esfriar antes de abrir o capô
Superaquecimento,Superaquecimento excessivo,Bolhas de ar no sistema de arrefecimento,Fazer a sangria do sistema de arrefecimento
